"ADDRESS","AVAILABILITY_STATUS","AVAILABLE_AT","BATHS","BEDS","BUILDING_TYPE","CITY","CLUBHOUSE","COMPANY","DATE_POSTED","DESCRIPTION","DOORMAN","FURNISHED","GARAGE","GARAGE_COUNT","GRANITE","GYM","ID","LATITUDE","LAUNDRY","LONGITUDE","NEIGHBORHOOD","POOL","RENT_PRICE","SCRAPED_TIMESTAMP","SQFT","STAINLESS","STATE","YEAR_BUILT","ZIP"
"1 Gibson Way , Revere, MA 02151","available","2025-01-08 01:42:45.661",1,1,"apartment building","Revere","Y","Greystar","2025-01-08 00:00:00.000","Come visit us at Gibson Point and what you’ll find will surprise and delight you. It’s a breathtaking site you’ve never explored, amazing sunset views you haven’t yet seen, and a holistic wellness experience unlike any other. Nestled between Gibson Park on one side and the shimmering waters of the North Shore on the other, our welcoming apartment community offers an opportunity for spa-like living, every day and in every season. Discover natural living here at Gibson Point Apartments in Revere, MA. Features/amenities: On-site restaurant coming soon from award-winning Michael Aldi, Waterfront access and immediate location next to Gibson Park and Revere Beach, Co-working hub with reservable work pods equipped with treadmill desks and walking pads, Shuttle service to MBTA Wonderland Blue Line station and other destinations, Recovery room with Therabody foam rollers, massage guns and lounger, Spa treatment room for massage, sound bath mediation and more, Sunset lounge with fireplace indoor/outdoor bar and entertaining kitchen, Turf lawn along with poolside cabanas, Amenity Epicenter featuring year-round sauna, cold plunge, thermal pool, and fire pits, Balconies and terraces in select homes, In-home washer and dryer, Double vanities in select homes, Tiled kitchen backsplashes, Quartz countertops, Open-concept kitchen shelving, Nest thermostats, Wide-plank flooring in living spaces, Select homes with water and Boston skyline views, Smoke Free Community","N","N","N","","Y","N",511595762,42.441605,"Y",-70.968555,"","Y",2505,"2025-01-08 01:42:45.816",591,"N","MA","",2151
"3000 Green District Blvd , Marlborough, MA 01752","available","2025-01-08 07:16:27.932",2,2,"apartment building","Marlborough","Y","Greystar","2025-01-08 00:00:00.000","Nestled within a grove of trees, The Lodge is an homage to its surroundings. This stunning building invites the outside in. The Lodge is truly deserving of its name, with gorgeous post and beam elements. With exceptional amenities and finishes, residents will find spacious apartments and community spaces that envelop them in elevated comfort. For those discerning enough to seek out the extraordinary, welcome in. Features/amenities: Lil lodge play area as well as guest suites available for rent, On-site nature trails and pond, Roof deck area with grills, outdoor lounge seating and sweeping views of surrounding nature, Co-working spaces as well as multiple private offices all with high speed Wifi, Trackman golf simulator room featuring PGA tour level courses, ""The Heartwood"" - a 2,500 sqft. fitness facility with yoga room, Peloton studio and more, ""The Quill"" a 2,000 volume library, Great room fireplace lounge featuring ""The Night Owl Bar"" serving beer on tap, Courtyard style heated pool with cabana and poolside sundeck lounging, Select homes featuring dens and private offices, In home private washer and dryer, Smart thermostats, Quartz countertops, Central air conditioning and heat, Large spacious walk in closets, Stainless steel appliances, Shaker style kitchen cabinets, Select top-floor penthouse homes available with extra features and extra high ceilings, Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Covered Parking or Garages, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","Y","Y",511633584,42.31892,"Y",-71.577191,"","Y",3900,"2025-01-08 07:17:10.690",1359,"Y","MA","",1752
"25 River Street , Winchester, MA 01890","available","2025-01-08 01:56:44.465",2,3,"apartment building","Winchester","N","Greystar","2025-01-08 00:00:00.000","Welcome to your private Sanctuary, where luxury finishes and top-tier amenities offer you a stress-free lifestyle. Curated indoor and outdoor spaces invite you to relax, recharge, or socialize with friends. Make this lifestyle your reality at The Sanctuary at Winchester North. Features/amenities: Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","N","Y",511599337,42.465429,"Y",-71.137116,"","Y",4849,"2025-01-08 01:56:44.921",1336,"N","MA","",1890
"22 Mount Carmel Way , Worcester, MA 01605","available","2025-01-08 04:19:48.801",1,1,"apartment building","Worcester","Y","Greystar","2025-01-08 00:00:00.000","If you’re looking to plant some roots in the heart of the Commonwealth, look no further than Alta on the Row. Located on the famed Shrewsbury Street, Alta on the Row delivers quick accessibility to Worcester’s hub for exploration and entertainment. Whether you’re a newcomer or local Worcesterite seeking adventure and excitement, Alta on the Row happily indulges. You can embrace Worcester at Alta on the Row. Features/amenities: Enchanting rooftop lounge with cozy seating, fire pits, and unobstructed views of downtown Worcester, Exquisite work-from-home suites and co-working spaces for enhanced productivity and convenience, Elegant clubroom for socializing and entertaining in style, Cutting-edge golf simulator for honing your swing in our game lounge, State-of-the-art 24-hour fitness center equipped with cutting-edge cardio and strength equipment and a dedicated yoga studio., Multiple chic grilling stations for gourmet outdoor culinary experiences, Sumptuous resort-style swimming pool featuring a tanning deck and turf surround for unparalleled relaxation, 2 serene expansive courtyards, styled with plush private seating and an outdoor entertainment space, and an
outdoor “living room” connecting the two courtyards, Prime location located .2 miles from Union Station, enabling residents to easily reach Boston via the MBTA Commuter Rail., Smart NEST thermostats for effortless climate control, Full-size washer and dryer in every apartment, Modern kitchen pendant lighting in select apartment homes, Spacious en-suite primary bathroom with quartz countertops, shower and tub tile surrounds, and frameless, Opulent LVT flooring throughout the entire apartment home, including bedrooms, Full-size washer and dryer in every apartment home, Sleek Stainless Steel Samsung appliance package, Stunning kitchens featuring quartz countertops, designer tile backsplash, soft close cabinetry, and pantry storage, One, two, and three- bedroom custom designed floor plans, Air Conditioning, Dishwasher, Fitness Center, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","Y","Y",511624967,42.264395,"Y",-71.792112,"","Y",2645,"2025-01-08 04:20:01.455",776,"Y","MA","",1605
"330 Paradise Road , Swampscott, MA 01907","available","2025-01-08 06:57:12.165",2,2,"apartment building","Swampscott","Y","Greystar","2025-01-08 00:00:00.000","Highly anticipated, The Landing at Vinnin Square features one, two and three-bedroom luxury Swampscott apartments. Cutting edge amenities, meticulously-groomed grounds, and a dedicated staff contributes to a higher standard of living. Convenient shopping, award-winning schools, local museums and parks are all close at hand. Make The Landing at Vinnin Square your new home today! Features/amenities: LEED Gold Certified, Access-Controlled Garage Parking, Silver Level NGBS Green Certified, Private Screening Room with Surround Sound, Outdoor Grills, Dining Areas & Intimate Fireplace, Resort-Style Pool w/Sun Shelf, 24/7 Fitness Center, Business Center, Resident Clubhouse, Patio/Balcony*, Spacious Layouts, Luxury Bathrooms with Oversized Oval Soaking Tubs, Generous Closet Space, Full-Size Washer & Dryer, Stainless Steel Appliances, Granite Countertops, Wood-Style Flooring, Spacious Apartments & 9' Ceilings, Air Conditioning, Dishwasher, Fitness Center, Pet Friendly, Swimming Pool(s), Washer/Dryer Available, Smoke Free Community","N","N","Y","","Y","Y",511632717,42.479045,"Y",-70.907584,"","Y",3508,"2025-01-08 06:57:20.778",1386,"Y","MA","",1907
"10 Bay Dr","unknown","2025-01-08 01:23:19.601",2,2,"apartment building","Canton","N","Willow Bridge","2025-01-08 00:00:00.000","Nestled into a secluded wooded setting in Canton, MA, Prynne Hills offers pet-friendly one, two, and three bedroom apartments in a picturesque New England neighborhood. Choose from our dozens of distinct floor plans with three unique finish packages to find the modern home that matches your style. Apartment amenities:  Community amenities: ","N","N","N","","N","N",511589668,42.18191,"N",-71.08446,"","N",3179,"2025-01-08 01:23:19.774",1403,"N","MA","",2021
"319 Lincoln Street, Hingham, MA 02043","available","2025-01-08 02:41:51.579",2,2,"apartment building","Hingham","N","AvalonCommunities","2025-01-08 00:00:00.000","Room dimensions, square footage, and features shown on the floor plan drawings are approximate and may vary between individual apartments that have similar layouts. Furniture shown on the floor plan drawings is representative and individual apartments come unfurnished unless specified otherwise. Quoted rent is per month for new move-ins to the community, based on the move-in date selected. Pricing may vary based on lease term. Quoted rent does not including other fees and charges that may be part of your lease (i.e. utilities, parking, etc.). Please contact the community for details. Prior to signing a lease, quoted rent, specials, availability, and other terms and conditions are subject to change without notice. Washington State - We require our own screening and do not accept comprehensive reusable tenant screening reports. Features/amenities: Kitchen Island, Quartz Countertops, Refrigerator, Gas Stove, Microwave, Dishwasher, Garbage Disposal, Double Vanities, Walk-in Closet, Primary Exposure South, Central Air Conditioning, Washer/Dryer, Pet friendly community featuring WAG Pet Spa and outdoor WAG Pet Park, , EV outlets, , , , , WiFi access is available in common areas, , Fully-equipped, open-plan kitchens with modern features including quartz countertops, stainless steel appliances, tile backsplash, and hard surface flooring, , , , , , , , , Bilt Rewards- Start earning points on rent with our free resident rewards program. Use your points for travel, future rent credit, fitness classes, and more, , ","N","N","N","","Y","Y",511608601,42.249864,"Y",-70.9178708,"","N",2975,"2025-01-08 02:41:51.596",1649,"Y","MA","",2043
"150 Quarry Street, Quincy, MA 02169","available","2025-01-08 01:31:58.932",1,1,"apartment building","Quincy","N","AvalonCommunities","2025-01-08 00:00:00.000","Room dimensions, square footage, and features shown on the floor plan drawings are approximate and may vary between individual apartments that have similar layouts. Furniture shown on the floor plan drawings is representative and individual apartments come unfurnished unless specified otherwise. Quoted rent is per month for new move-ins to the community, based on the move-in date selected. Pricing may vary based on lease term. Quoted rent does not including other fees and charges that may be part of your lease (i.e. utilities, parking, etc.). Please contact the community for details. Prior to signing a lease, quoted rent, specials, availability, and other terms and conditions are subject to change without notice. Washington State - We require our own screening and do not accept comprehensive reusable tenant screening reports. Features/amenities: Refrigerator, Electric Stove, Dishwasher, Garbage Disposal, Primary Exposure Northeast, Stainless Steel Appliances, Central Air Conditioning, Cats and dogs are welcome. Please check the dog breed and pet restrictions., , , , , , Heated outdoor swimming pool, , Our technology package, eavesConnect, offers pre-installed high-speed and community-wide WiFi and other services, including the ability to submit maintenance requests and pay your rent online, Common area WiFi, , Furnished apartment homes available, , , Finish Package III:Renovated kitchens and baths with white cabinetry, hard surface flooring and kitchens with grey granite countertops and stainless steel appliances, , , , Near Routes 93, 128, 95, and 3, Free shuttle-bus to T station and on-site local bus stop, , , Bilt Rewards- Start earning points on rent with our free resident rewards program. Use your points for travel, future rent credit, fitness classes, and more, ","N","Y","N","","Y","Y",511592830,42.2463642,"N",-71.0164554,"","Y",1932,"2025-01-08 01:31:58.942",850,"Y","MA","",2169
"290 Mishawum Road, Woburn, MA 01801","available","2025-01-08 01:52:12.599",1,1,"apartment building","Woburn","Y","AvalonCommunities","2025-01-08 00:00:00.000","Room dimensions, square footage, and features shown on the floor plan drawings are approximate and may vary between individual apartments that have similar layouts. Furniture shown on the floor plan drawings is representative and individual apartments come unfurnished unless specified otherwise. Quoted rent is per month for new move-ins to the community, based on the move-in date selected. Pricing may vary based on lease term. Quoted rent does not including other fees and charges that may be part of your lease (i.e. utilities, parking, etc.). Please contact the community for details. Prior to signing a lease, quoted rent, specials, availability, and other terms and conditions are subject to change without notice. Washington State - We require our own screening and do not accept comprehensive reusable tenant screening reports. Features/amenities: Quartz Countertops, Refrigerator, Gas Stove, Microwave, Dishwasher, Garbage Disposal, Walk-in Closet, Primary Exposure South, Central Air Conditioning, Balcony, Washer/Dryer, Pet friendly living with WAG pet spa, , , EV outlets. Garage parking with electric charging stations, Kitchens with quartz countertops, stainless steel appliances, backsplash and hard surface flooring, Keyless entry to apartments and common areas, Pool courtyard with lounge seating, barbeque grills and dining area, Our technology package, AvalonConnect, offers pre-installed high-speed WiFi, powered by Verizon Fios, in your apartment and common areas for residents and guests, Common area WiFi, , , , , , , , Outdoor gaming courtyard, , 2,500 sq ft co-working space, including reservable conference rooms, phone rooms, kitchenette, café inspired seating and outdoor co-working courtyard, Easy access to Boston via I-93, , Nearby public transportation including Anderson RTC and Reading commuter rail stations, Logan Express, and the Amtrak Downeaster, , , Located at Woburn Village, a mixed-use concept consisting of 240,000 sf grocery-anchored lifestyle center that includes retail, restaurants, and entertainment, , Bilt Rewards- Start earning points on rent with our free resident rewards program. Use your points for travel, future rent credit, fitness classes, and more, ","N","N","Y","","Y","Y",511598270,42.5036962,"Y",-71.1361007,"","Y",1915,"2025-01-08 01:52:12.617",690,"Y","MA","",1801
"1525 Commonwealth Ave , Brighton, MA 02135","available","2025-01-08 02:28:19.774",1,0,"apartment building","Brighton","Y","Greystar","2025-01-08 00:00:00.000","Discover the epitome of modern urban living at HEW at 1515. Nestled in the heart of Brighton, our meticulously designed residences offer a harmonious blend of comfort and sophistication. With 151 thoughtfully crafted homes, each boasting exquisite finishes and contemporary amenities, every detail is tailored to elevate your lifestyle. Experience the perfect balance of convenience and luxury, where vibrant city life meets the tranquility of home. Features/amenities: Clubroom with Catering Kitchen, Lounge Area, and Fireplace, Coworking Spaces, Outdoor Courtyard, Outdoor Pet Park & Pet Washing Station, Roof Deck with Grilling Stations, Lounge Seating, Fire Pits, and a Sun Deck, Artist Studio, Bike Storage & Repair Station, Fitness Center, Garage Parking with EV Charging Stations, Brushed Brass Finishes, Expansive Closets, Dual Vanity Sinks*, Floor to Ceiling Windows, Kitchen Islands*, Bosch Washer/Dryers, Stainless Steel Appliances, Hardwood Inspired Flooring, Quartz Countertops, Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Covered Parking or Garages, Pet Friendly, Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","Y","","Y","Y",511605749,42.34653,"Y",-71.1417,"Allston-Brighton","N",2770,"2025-01-08 02:28:19.778",450,"Y","MA","",2135
"176 Read Street","unavailable","2022-05-05 00:00:00.0",1,4,"house","Attleboro","N","Hudson Homes","2025-01-08 00:00:00.000","NOW AVAILABLE! 176 Read St, South Attleboro, MA 02703
NOW AVAILABLE! Exclusively listed by Hudson Homes. 

Ensure your application is quick and easy by first reading the ""Application Requirements"" section of our website and familiarizing yourself with income, credit and criminal background requirements, restricted pet breeds, and all other policies. www.hudsonhomesmanagement.com/applicationrequirements  

Please note: Hudson Homes will accept multiple applications and continue to market the home until a lease is fully executed.  

Prospective tenants to verify all information within this listing including, but not limited to BR, BA, and SQFT.  

Avoid Rental Scams: Hudson Homes does not advertise on Craigslist and will never ask you to wire money or request funds through a payment app on your mobile device. 

CONSENT TO TEXT MSG: By entering your mobile phone number, you expressly consent to receive text messages from Hudson Homes. Msg & Data rates may apply. 
Visit our website for FAQs. www.hudsonhomesmanagement.com/faqs","N","N","N","","N","N",511614321,41.9220607,"N",-71.3385527,"","N",2595,"2025-01-08 03:11:51.993",1806,"N","MA","",2703
"3000 Green District Blvd , Marlborough, MA 01752","available","2025-01-08 07:16:27.932",2,3,"apartment building","Marlborough","Y","Greystar","2025-01-08 00:00:00.000","Nestled within a grove of trees, The Lodge is an homage to its surroundings. This stunning building invites the outside in. The Lodge is truly deserving of its name, with gorgeous post and beam elements. With exceptional amenities and finishes, residents will find spacious apartments and community spaces that envelop them in elevated comfort. For those discerning enough to seek out the extraordinary, welcome in. Features/amenities: Lil lodge play area as well as guest suites available for rent, On-site nature trails and pond, Roof deck area with grills, outdoor lounge seating and sweeping views of surrounding nature, Co-working spaces as well as multiple private offices all with high speed Wifi, Trackman golf simulator room featuring PGA tour level courses, ""The Heartwood"" - a 2,500 sqft. fitness facility with yoga room, Peloton studio and more, ""The Quill"" a 2,000 volume library, Great room fireplace lounge featuring ""The Night Owl Bar"" serving beer on tap, Courtyard style heated pool with cabana and poolside sundeck lounging, Select homes featuring dens and private offices, In home private washer and dryer, Smart thermostats, Quartz countertops, Central air conditioning and heat, Large spacious walk in closets, Stainless steel appliances, Shaker style kitchen cabinets, Select top-floor penthouse homes available with extra features and extra high ceilings, Air Conditioning, Balcony or Patio, Dishwasher, Fitness Center, Covered Parking or Garages, Pet Friendly, Swimming Pool(s), Spacious Closets, Washer/Dryer Available, Smoke Free Community","N","N","N","","Y","Y",511633596,42.31892,"Y",-71.577191,"","Y",4520,"2025-01-08 07:17:18.154",1470,"Y","MA","",1752
